Source,Target,Time
811071393072758784,452992293,2018-11-05 04:49:51
181112137,194987317,2018-11-05 04:49:29
181112137,40580714,2018-11-05 04:49:29
181112137,132041617,2018-11-05 04:49:29
2542665199,1003935463961341953,2018-11-05 04:49:15
2542665199,366987179,2018-11-05 04:49:15
2542665199,40580714,2018-11-05 04:49:15
356084760,1044085503601958913,2018-11-05 04:49:15
356084760,40580714,2018-11-05 04:49:15
300640735,1044085503601958913,2018-11-05 04:49:09
300640735,40580714,2018-11-05 04:49:09
181112137,452992293,2018-11-05 04:48:54
932122849891926016,452992293,2018-11-05 04:48:54
374914914,736940016,2018-11-05 04:48:48
983987036574101505,452992293,2018-11-05 04:48:45
3262729482,452992293,2018-11-05 04:48:40
404863707,452992293,2018-11-05 04:48:37
872295866731610112,403957708,2018-11-05 04:48:28
2293669487,452992293,2018-11-05 04:48:28
851719045481086976,452992293,2018-11-05 04:48:28
1048723207782510592,397673651,2018-11-05 04:48:25
1048723207782510592,40580714,2018-11-05 04:48:25
1048723207782510592,211415705,2018-11-05 04:48:25
831757560147484672,448511516,2018-11-05 04:48:24
471879398,452992293,2018-11-05 04:48:18
173276033,17128975,2018-11-05 04:48:15
728008028,706781761,2018-11-05 04:48:06
829861365997146112,736940016,2018-11-05 04:48:06
2401792765,736940016,2018-11-05 04:48:06
596558360,982764216607162368,2018-11-05 04:48:02
596558360,69183155,2018-11-05 04:48:02
916742608763760640,920493381498949632,2018-11-05 04:48:01
916742608763760640,1003935463961341953,2018-11-05 04:48:01
916742608763760640,366987179,2018-11-05 04:48:01
916742608763760640,40580714,2018-11-05 04:48:01
1025767867550035969,385881587,2018-11-05 04:47:47
103517297,198412976,2018-11-05 04:47:37
3171713264,736940016,2018-11-05 04:47:32
616347306,258784571,2018-11-05 04:47:30
616347306,40580714,2018-11-05 04:47:30
616347306,366987179,2018-11-05 04:47:30
1038002482750742528,452992293,2018-11-05 04:47:28
3311102678,200144577,2018-11-05 04:47:28
1043723901048504322,68311814,2018-11-05 04:47:17
190482029,930720890953777153,2018-11-05 04:47:12
190482029,2547595849,2018-11-05 04:47:12
913939764226646016,452992293,2018-11-05 04:47:11
187977902,452992293,2018-11-05 04:47:07
1028769912532025344,23343960,2018-11-05 04:47:04
98391831,1140112512,2018-11-05 04:47:03
867272351628509184,736940016,2018-11-05 04:46:56
46119275,452992293,2018-11-05 04:46:55
1048857138754248705,155814891,2018-11-05 04:46:47
1053810090963136512,953185696809807873,2018-11-05 04:46:45
1009298096533135360,146365198,2018-11-05 04:46:40
1049798166474682368,452992293,2018-11-05 04:46:34
106034416,452992293,2018-11-05 04:46:31
887127198167031808,995507198636707840,2018-11-05 04:46:28
887127198167031808,1350917154,2018-11-05 04:46:28
887127198167031808,1002362834225774594,2018-11-05 04:46:28
887127198167031808,2916468169,2018-11-05 04:46:28
887127198167031808,40580714,2018-11-05 04:46:28
887127198167031808,132041617,2018-11-05 04:46:28
887127198167031808,397673651,2018-11-05 04:46:28
887127198167031808,248199104,2018-11-05 04:46:28
887127198167031808,22365191,2018-11-05 04:46:28
887127198167031808,863650755592331265,2018-11-05 04:46:28
887127198167031808,4787817264,2018-11-05 04:46:28
887127198167031808,4068016160,2018-11-05 04:46:28
887127198167031808,2529057427,2018-11-05 04:46:28
887127198167031808,366987179,2018-11-05 04:46:28
887127198167031808,1676390978,2018-11-05 04:46:28
887127198167031808,705987485797470209,2018-11-05 04:46:28
616347306,448511516,2018-11-05 04:46:22
773748166084657152,452992293,2018-11-05 04:46:22
741288495327502336,448511516,2018-11-05 04:46:18
618757726,885653782452871169,2018-11-05 04:46:14
618757726,2381818722,2018-11-05 04:46:14
618757726,366987179,2018-11-05 04:46:14
900195832007413761,3252599064,2018-11-05 04:46:11
932111839453880320,736940016,2018-11-05 04:46:00
916742608763760640,920493381498949632,2018-11-05 04:45:58
916742608763760640,1003935463961341953,2018-11-05 04:45:58
916742608763760640,916742608763760640,2018-11-05 04:45:58
916742608763760640,366987179,2018-11-05 04:45:58
916742608763760640,40580714,2018-11-05 04:45:58
885782306002055168,452992293,2018-11-05 04:45:48
1052268446119952384,2381818722,2018-11-05 04:45:40
1052268446119952384,366987179,2018-11-05 04:45:40
935714908188086274,120968478,2018-11-05 04:45:39
1012033219309400064,258784571,2018-11-05 04:45:36
879425796997169152,1487636400,2018-11-05 04:45:31
616347306,452992293,2018-11-05 04:45:31
946008913882652672,2381818722,2018-11-05 04:45:30
946008913882652672,366987179,2018-11-05 04:45:30
2193875012,452992293,2018-11-05 04:45:20
1006188322987827201,448511516,2018-11-05 04:45:20
47566153,190679407,2018-11-05 04:45:19
4834772592,235931838,2018-11-05 04:45:06
4834772592,40580714,2018-11-05 04:45:06
1047686462458609664,403957708,2018-11-05 04:44:52
2837665364,452992293,2018-11-05 04:44:38
239012706,190679407,2018-11-05 04:44:38
778821297107120128,18071520,2018-11-05 04:44:31
74843165,94545198,2018-11-05 04:44:28
2922321560,1044085503601958913,2018-11-05 04:44:21
2922321560,40580714,2018-11-05 04:44:21
828474812557242368,190679407,2018-11-05 04:44:16
910334996438642689,951426396772945921,2018-11-05 04:44:14
910334996438642689,40580714,2018-11-05 04:44:14
910334996438642689,965885713223892993,2018-11-05 04:44:14
910334996438642689,213975564,2018-11-05 04:44:14
910334996438642689,1575141104,2018-11-05 04:44:14
910334996438642689,870849355426574336,2018-11-05 04:44:14
704900045108281347,736940016,2018-11-05 04:44:12
1035530189281718272,452992293,2018-11-05 04:44:09
1027010109086490624,994008693497778176,2018-11-05 04:44:03
1027010109086490624,40580714,2018-11-05 04:44:03
1026042847907049472,82009511,2018-11-05 04:44:02
1026042847907049472,763533950,2018-11-05 04:44:02
1026042847907049472,960353900816605184,2018-11-05 04:44:02
1026042847907049472,196467341,2018-11-05 04:44:02
1026042847907049472,988985660768796672,2018-11-05 04:44:02
1026042847907049472,85521608,2018-11-05 04:44:02
1026042847907049472,2786280835,2018-11-05 04:44:02
1026042847907049472,40580714,2018-11-05 04:44:02
1026042847907049472,366987179,2018-11-05 04:44:02
871333184390127616,452992293,2018-11-05 04:44:02
592670569,979985819099316224,2018-11-05 04:43:45
592670569,40580714,2018-11-05 04:43:45
592670569,366987179,2018-11-05 04:43:45
1030811717389889536,452992293,2018-11-05 04:43:41
1038648829950681089,114697372,2018-11-05 04:43:39
805629166095769600,452992293,2018-11-05 04:43:36
955684196998983680,452992293,2018-11-05 04:43:30
872068206734618624,452992293,2018-11-05 04:43:23
445306698,235931838,2018-11-05 04:43:21
445306698,40580714,2018-11-05 04:43:21
